school_name,status,active_url,num_pdfs,,,
LYON COLLEGE,200,1,,,,
NATIONAL PARK COLLEGE,200,1,,,,
NEW TYLER BARBER COLLEGE INC,200,1,,,,
NORTH ARKANSAS COLLEGE,200,1,,,,
NORTHWEST ARKANSAS COMMUNITY COLLEGE,200,1,,,,
NORTHWEST TECHNICAL INSTITUTE,200,1,,,,
OUACHITA BAPTIST UNIVERSITY,200,1,,,,
OZARKA COLLEGE,500,0,0,,,
PHILANDER SMITH COLLEGE,200,1,,,,
PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,200,1,,,,
"PMAR FAYETTEVILLE, LLC",200,1,,,,
"PMHS-LR, LLC",200,1,,,,
"SEARCY BEAUTY COLLEGE, INC","HTTPSConnectionPool(host='www.searcybeautycollege.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1125)')))",0,0,,,
SHORTER COLLEGE,"HTTPSConnectionPool(host='shortercollege.edu', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1125)')))",0,0,,,
SOUTH ARKANSAS COMMUNITY COLLEGE,200,1,,,,
SOUTHEAST ARKANSAS COLLEGE,200,1,,,,
SOUTHERN ARKANSAS UNIVERSITY,200,1,,,,
SOUTHERN ARKANSAS UNIVERSITY TECH,200,1,,,,
SPA PARTNERS LLC,200,1,,,,
UNIVERSITY OF ARKANSAS,200,1,,,,
UNIVERSITY OF ARKANSAS - FORT SMITH,200,1,,,,
UNIVERSITY OF ARKANSAS - PULASKI TECHNICAL COLLEGE,"HTTPSConnectionPool(host='uaptc.edu', port=443): Read timed out. (read timeout=15)",0,0,,,
UNIVERSITY OF ARKANSAS AT LITTLE ROCK,200,1,,,,
UNIVERSITY OF ARKANSAS AT MONTICELLO,200,1,,,,
UNIVERSITY OF ARKANSAS AT PINE BLUFF,200,1,,,,
UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE,200,1,,,,
UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE-TEXARKANA,200,1,,,,
UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE MORRILTON,"HTTPSConnectionPool(host='www.uaccm.edu', port=443): Max retries exceeded with url: /covid-19/index.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000020B29250460>, 'Connection to www.uaccm.edu timed out. (connect timeout=15)'))",0,0,,,
UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE RICH MOUNTAIN,200,1,,,,
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,200,1,,,,
UNIVERSITY OF CENTRAL ARKANSAS,200,1,,,,
UNIVERSITY OF THE OZARKS,200,1,,,,
VELVATEX COLLEGE OF BEAUTY CULTURE,200,1,,,,
WASHINGTON BARBER COLLEGE,403,0,0,,,
WILLIAMS BAPTIST UNIVERSITY,200,1,,,,
AMERICAN SAMOA COMMUNITY COLLEGE,200,1,,,,
5 STAR ENTERPRISE LLC DBA TURNING POINT BEAUTY COLLEGE,200,1,,,,
ALL BEAUTY COLLEGE,200,1,,,,
